Phase	Elements	method	oldorder	neworder	rowmode	esteps	asteps	err
31104	180	merge	reverse	forward	single	180	179	0.01
31105	180	insertion	forward	reverse	single	16110	16110	0.00
31106	90	triple	reverse	random	single	48	49	0.02
31107	90	evenodd	random	interleave	single	79	87	0.10
31108	90	swap	interleave	forward	single	336	318	0.06
31109	90	dinsertion	forward	revfwd	single	2025	2025	0.00
31110	180	merge	revfwd	forward	zipper	179	179	0.00
31111	180	merge	forward	reverse	zipper	179	179	0.00
31112	180	evenodd	reverse	forward	zipper	180	180	0.00
31113	180	evenodd	fwdrev	revfwd	rightleft	179	179	0.00
31114	180	dinsertion	reverse	forward	zipper	15840	15840	0.00
31115	180	dinsertion	forward	revfwd	zipper	7920	7920	0.00
31116	180	selection	revfwd	reverse	zipper	7920	7920	0.00
31117	360	merge	reverse	forward	zipper	359	359	0.00
31118	180	merge	forward	revfwd	single	90	92	0.02
31119	180	evenodd	revfwd	interleave	single	180	176	0.02
31120	180	dinsertion	interleave	revfwd	single	8010	8010	0.00
31121	180	selection	revfwd	forward	single	8100	8100	0.00
31122	180	swap	forward	random	single	863	929	0.07
31123	180	selection	random	revfwd	single	8009	8345	0.04
31124	180	evenodd	revfwd	interleave	single	180	176	0.02
31125	180	merge	interleave	forward	single	183	182	0.01
31126	60	triple	forward	interleave	single	40	40	0.00
31127	60	evenodd	interleave	fwdrev	single	58	57	0.02
31128	180	quick	fwdrev	reverse	single	349	352	0.01
31129	180	selection	reverse	forward	single	16110	16110	0.00
31130	360	triple	fwdrev	revfwd	rightleft	359	359	0.00
31131	360	evenodd	revfwd	fwdrev	rightleft	359	359	0.00
31132	120	merge	fwdrev	revfwd	rightleft	60	60	0.00
31133	60	swap	reverse	fwdrev	single	204	196	0.04
31134	120	merge	fwdrev	reverse	zipper	119	119	0.00
31135	120	triple	reverse	revfwd	zipper	80	80	0.00
31136	120	selection	revfwd	forward	zipper	3480	3480	0.00
31137	40	evenodd	forward	reverse	zipper	40	40	0.00
31138	40	merge	reverse	forward	zipper	39	39	0.00
31139	40	triple	fwdrev	revfwd	rightleft	39	39	0.00
31140	40	triple	reverse	forward	zipper	40	40	0.00
31141	40	selection	forward	revfwd	zipper	360	360	0.00
31142	40	random	revfwd	forward	zipper	360	360	0.00
31143	40	swap	forward	revfwd	zipper	95	90	0.05
31144	40	dinsertion	revfwd	fwdrev	zipper	360	360	0.00
31145	40	evenodd	fwdrev	forward	zipper	38	38	0.00
31146	80	merge	forward	reverse	zipper	79	79	0.00
31147	80	quick	reverse	forward	zipper	78	76	0.03
31148	40	merge	forward	fwdrev	single	40	40	0.00
31149	80	quick	fwdrev	revfwd	zipper	94	90	0.04
31150	80	dinsertion	revfwd	reverse	zipper	1520	1520	0.00
31151	80	selection	reverse	forward	zipper	3040	3040	0.00
31152	80	merge	forward	revfwd	zipper	41	41	0.00
31153	40	swap	revfwd	interleave	single	116	94	0.21
31154	40	swap	interleave	random	single	128	122	0.05
31155	40	dinsertion	random	forward	single	381	408	0.07
31156	80	random	forward	fwdrev	zipper	1520	1520	0.00
31157	40	insertion	fwdrev	revfwd	zipper	360	360	0.00
31158	40	swap	revfwd	forward	zipper	77	88	0.13
31159	40	merge	forward	fwdrev	zipper	40	40	0.00
31160	120	merge	fwdrev	forward	zipper	118	118	0.00
31161	240	insertion	forward	fwdrev	zipper	14160	14160	0.00
31162	240	merge	fwdrev	revfwd	zipper	120	120	0.00
31163	240	evenodd	revfwd	fwdrev	zipper	239	239	0.00
31164	240	dinsertion	fwdrev	forward	zipper	14160	14160	0.00
31165	240	merge	forward	revfwd	zipper	121	121	0.00
31166	120	evenodd	revfwd	reverse	single	118	118	0.00
31167	120	triple	reverse	revfwd	single	79	80	0.01
31168	240	merge	revfwd	fwdrev	zipper	120	120	0.00
31169	240	random	fwdrev	reverse	zipper	14160	14160	0.00
31170	120	merge	reverse	revfwd	single	122	119	0.02
31171	240	evenodd	revfwd	forward	zipper	239	239	0.00
31172	240	insertion	forward	reverse	zipper	28320	28320	0.00
31173	240	selection	reverse	revfwd	zipper	14160	14160	0.00
31174	240	insertion	revfwd	fwdrev	zipper	14160	14160	0.00
31175	240	swap	fwdrev	revfwd	zipper	1227	1288	0.05
31176	80	selection	revfwd	forward	zipper	1520	1520	0.00
31177	240	swap	forward	revfwd	zipper	1158	1154	0.00
31178	240	evenodd	revfwd	fwdrev	zipper	239	239	0.00
31179	720	swap	fwdrev	forward	zipper	4867	4099	0.17
31180	240	random	forward	revfwd	zipper	14160	14160	0.00
31181	240	selection	revfwd	forward	zipper	14160	14160	0.00
